PUNTO (1),,
x,y,z
887.166,2872.235,158.388
890.116,2871.284,158.295
893.067,2870.333,158.202
896.018,2869.384,158.109
898.969,2868.436,158.016
901.541,2867.612,157.935
904.111,2866.788,157.854
906.684,2865.965,157.773
909.255,2865.143,157.692
911.827,2864.322,157.611
914.4,2863.502,157.53
916.496,2862.836,157.464
918.593,2862.169,157.398
919.642,2861.835,157.365
921.548,2861.231,157.305
923.692,2860.551,157.237
924.884,2860.173,157.2
926.076,2859.796,157.162
928.222,2859.118,157.095
930.129,2858.516,157.035
933.085,2857.583,156.942
936.041,2856.652,156.849
938.999,2855.723,156.756
941.957,2854.796,156.663
944.916,2853.869,156.57
947.874,2852.945,156.477
950.834,2852.022,156.384
953.412,2851.219,156.303
955.99,2850.418,156.222
958.569,2849.618,156.141
961.148,2848.82,156.06
963.728,2848.022,155.979
966.308,2847.226,155.898
968.41,2846.579,155.832
970.513,2845.932,155.766
971.565,2845.609,155.733
973.477,2845.022,155.673
975.628,2844.363,155.605
976.823,2843.997,155.568
978.019,2843.632,155.53
980.171,2842.975,155.463
982.084,2842.392,155.403
985.049,2841.49,155.31
988.016,2840.59,155.217
990.983,2839.691,155.124
993.951,2838.795,155.031
996.918,2837.901,154.938
999.887,2837.008,154.845
1002.857,2836.118,154.752
1005.444,2835.344,154.671
1008.031,2834.572,154.59
1010.619,2833.802,154.509
1013.207,2833.033,154.428
1015.786,2832.266,154.347
1018.385,2831.5,154.266
1020.495,2830.877,154.2
1022.605,2830.257,154.134
1023.661,2829.946,154.101
1025.58,2829.389,154.041
1027.739,2828.75,153.973
1028.989,2828.399,153.936
1030.188,2828.048,153.898
1032.298,2827.418,153.831
1034.219,2826.859,153.771
1037.196,2825.995,153.678
1040.173,2825.133,153.585
1043.152,2824.273,153.492
1046.131,2823.415,153.399
1049.11,2822.56,153.306
1052.091,2821.708,153.213
1055.072,2820.858,153.12
1057.669,2820.12,153.089
1060.267,2819.383,152.958
1062.865,2818.649,152.877
1065.464,2817.917,152.796
1068.064,2817.186,152.715
1070.663,2816.458,152.634
1072.782,2815.866,152.568
1074.901,2815.275,152.502
1075.961,2814.98,152.469
1077.888,2814.445,152.409
1080.056,2813.844,152.341
1081.261,2813.51,152.304
1082.466,2813.178,152.266
1084.685,2812.58,152.199
1086.563,2812.05,152.139
1089.553,2811.229,152.046
1092.543,2810.412,151.953
1095.534,2809.597,151.86
1098.526,2808.785,151.767
1101.519,2807.976,151.674
1104.512,2807.169,151.581
1107.506,2806.365,151.488
1110.114,2805.666,151.407
1112.722,2804.969,151.326
1115.331,2804.275,151.245
1117.941,2803.582,151.164
1120.551,2802.892,151.083
1123.162,2802.204,151.002
1125.28,2801.644,150.936
1127.417,2801.086,150.87
1128.482,2800.807,150.837
1130.417,2800.302,150.777
1132.594,2799.734,150.709
1133.804,2799.419,150.672
1135.014,2799.105,150.634
1137.192,2798.54,150.567
1139.128,2798.039,150.507
1142.13,2797.265,150.414
1145.182,2796.493,150.321
1148.139,2795.725,150.228
1151.139,2794.959,150.135
1154.144,2794.195,150.042
1157.149,2793.434,149.949
1160.155,2792.676,149.856
1162.773,2792.017,149.775
1165.392,2791.361,149.694
1168.012,2790.706,149.613
1170.682,2790.054,149.532
1173.252,2789.404,149.451
1175.873,2788.755,149.37
1178.009,2788.228,149.304
1180.146,2787.703,149.238
1181.214,2787.441,149.205
1183.156,2786.965,149.145
1185.342,2786.431,149.077
1186.556,2786.135,149.04
1187.771,2785.839,149.002
1189.957,2785.308,148.935
1191.901,2784.836,148.875
1194.914,2784.108,148.782
1197.928,2783.383,148.689
1200.942,2782.66,148.596
1203.958,2781.94,148.503
1206.974,2781.222,148.41
1209.99,2780.508,148.317
1213.007,2779.795,148.224
1215.635,2779.178,148.143
1218.264,2778.561,148.062
1220.894,2777.947,147.981
1223.523,2777.335,147.9
1226.153,2776.724,147.819
1228.784,2776.116,147.738
1230.928,2775.622,147.672
1233.072,2775.13,147.606
1234.144,2774.884,147.573
1236.094,2774.437,147.513
1238.287,2773.937,147.446
1239.506,2773.659,147.408
1240.725,2773.382,147.371
1242.919,2772.884,147.303
1244.87,2772.443,147.243
1247.894,2771.762,147.15
1250.919,2771.082,147.057
1253.944,2770.406,146.964
1256.97,2769.732,146.871
1259.996,2769.061,146.778
1263.023,2768.393,146.685
1266.051,2767.727,146.592
1268.688,2767.149,146.511
1271.326,2766.573,146.43
1273.965,2765.999,146.349
